RM,LSTAT,PTRATIO,Prediction
6.976,5.64,21.0,555418.1
6.03,18.8,17.9,410568.06
6.377000000000001,20.45,15.2,441089.72
5.968,9.29,20.2,427773.4
5.905,11.45,20.2,413145.0
6.563,5.68,17.8,564192.94
5.604,13.98,17.8,405188.66
6.152,15.02,14.7,433874.16
4.519,36.98,20.2,248611.39
5.602,16.2,17.9,402188.4
6.452999999999999,8.23,15.3,513350.44
6.273,6.78,18.7,501772.66
6.348,17.64,20.2,313053.75
7.087999999999999,7.85,15.3,673152.06
7.236000000000001,6.93,18.4,673141.56
6.7010000000000005,16.42,20.2,341891.28
7.287000000000001,4.08,12.6,763869.56
6.431,15.39,21.2,326673.5
8.04,3.13,17.4,903162.3
5.936,5.57,22.0,447786.47
5.4270000000000005,18.14,20.2,358275.34
5.7010000000000005,18.35,21.0,320269.06
5.787000000000001,10.24,16.1,424904.22
6.728,4.5,17.0,623235.75
5.888,14.8,21.1,365837.22
5.6129999999999995,27.26,19.1,250305.03
6.657,21.22,20.2,257607.48
6.1129999999999995,12.73,18.4,450964.12
6.162000000000001,24.1,20.2,222573.52
5.96,17.27,18.6,413251.3
6.794,6.48,21.0,520907.5
6.9510000000000005,9.71,17.4,603316.2
5.949,8.26,21.0,430475.9
6.229,12.87,20.2,395472.84
5.731,13.61,17.8,414717.84
5.403,26.82,14.7,309008.34
5.7410000000000005,13.15,19.7,412984.34
6.312,6.15,19.6,495326.84
6.43,5.21,18.7,538964.6
6.004,14.27,19.1,425501.25
6.24,6.59,18.6,500584.28
6.343,20.32,20.2,278168.03
5.966,10.13,19.2,445170.28
7.148,3.56,19.2,693144.44
8.266,4.14,17.4,904967.7
5.95,27.71,21.0,166146.44
5.888,13.51,16.4,423445.47
6.14,10.27,18.7,468291.6
6.388999999999999,9.62,18.5,496052.38
7.52,7.26,13.0,784481.2
6.997999999999999,2.94,18.7,680737.06
5.414,23.97,20.1,261842.0
6.635,5.99,17.0,582128.8
6.405,8.2,17.8,509863.03
6.794,21.24,20.2,261749.39
7.327000000000001,11.25,13.0,684651.3
6.943,4.59,14.7,675155.9
6.25,5.5,14.7,507633.16
6.144,9.09,16.9,475010.38
5.877000000000001,12.14,14.7,419459.88
5.854,11.64,14.7,419859.66
5.857,21.32,21.2,259443.9
6.006,15.7,20.2,364212.84
6.7620000000000005,9.5,19.7,500270.66
6.127000000000001,14.09,20.9,361669.62
5.56,10.45,13.0,396680.72
6.59,9.5,16.1,527378.25
6.1739999999999995,24.16,21.2,205741.31
5.648,14.1,20.2,401413.1
6.537999999999999,7.73,18.6,532701.4
7.645,3.01,14.9,868019.3
6.176,12.04,17.8,467459.3
6.459,23.98,20.2,216375.92
6.015,12.86,18.5,439920.66
6.481,6.36,16.6,540407.7
7.135,4.45,17.0,716002.56
7.185,4.03,17.8,726181.06
8.247,3.95,17.4,907302.0
5.7589999999999995,14.13,20.2,402472.03
6.335,16.96,21.2,302577.7
5.898,12.67,18.8,431192.47
7.765,7.56,17.8,748321.56
5.569,15.1,19.2,411983.66
5.9239999999999995,16.3,21.0,344748.38
6.114,14.98,20.2,366253.9
5.972,9.97,18.4,456073.53
5.986000000000001,14.81,19.1,423394.84
5.349,19.77,20.2,334438.88
6.376,6.87,19.6,497889.75
4.628,34.37,20.2,234782.36
6.3260000000000005,12.26,21.2,379096.03
6.438,3.59,19.1,550018.6
6.03,7.88,21.0,439423.28
6.129,15.12,14.7,430568.16
7.202999999999999,9.59,13.0,673238.44
6.726,8.05,17.4,573219.44
6.8260000000000005,4.16,17.6,643917.2
7.47,3.16,13.0,823841.06
